#,"De que curso você é aluno?","Você é...","Você já cursou, está cursando ou não cursou FPCC 2?","Em quantos repositórios de software você lembra ter contribuído nos últimos 2 anos?","Em quantas linguagens de programação você se considera fluente?","Qual seu nível de confiança hoje no uso de métodos estatísticos para analisar o resultado de um experimento?","Em quantos projetos de pesquisa você lembra ter participado?","Qual a sua altura em centímetros?","O quanto você gosta de formulários online? (Obrigado por ter respondido este!)","Start Date (UTC)","Submit Date (UTC)","Network ID"
46135dbaff7f3a3eba91978be1977900,Doutorado,Homem,"Já cursei",0,3,3,4,170,3,"2016-03-08 04:25:30","2016-03-08 04:27:34",03709dc853
fe2c22626998fee48ea14eae7af12f8c,Mestrado,Homem,"Já cursei",3,3,8,3,167,3,"2016-03-08 04:30:19","2016-03-08 04:31:37",8bb85f0d1c
714842ecab067844a547d4bcdd68cf30,Mestrado,Homem,"Já cursei",15,3,7,2,175,1,"2016-03-08 04:31:25","2016-03-08 04:33:12",42899b562c
a0a3bddc741a4e08a888fa9f2aa81d36,Doutorado,Homem,"Já cursei",0,2,7,5,173,4,"2016-03-08 04:32:16","2016-03-08 04:34:17",05e9cfa028
49e9ef67573369571f6aed4d2b21306b,Mestrado,Homem,"Estou cursando em 2016",0,3,5,5,185,4,"2016-03-08 04:35:19","2016-03-08 04:36:58",ca42b42a10
a186fbbdb7b2234732e3ce39008ec752,Doutorado,Homem,"Já cursei",2,6,8,1,192,3,"2016-03-08 04:57:20","2016-03-08 04:59:00",e5cc912865
7d7f7108142ded8f2daed14b6e7a8545,Doutorado,Mulher,"Já cursei",0,2,6,3,164,2,"2016-03-08 09:03:31","2016-03-08 09:04:43",1156b1b957
d618cbb91f1cb4a62171081dc4b0e495,Doutorado,Homem,"Já cursei",4,2,8,4,178,4,"2016-03-08 09:37:06","2016-03-08 09:38:20",0a88fbebb2
24530999fc452d3f0032e09872bae2a2,Doutorado,Homem,"Já cursei",1,3,8,3,180,3,"2016-03-08 09:57:58","2016-03-08 10:00:15",1436f351b7
82f9625c78aecc2fbc827ef740dd84d1,Mestrado,Homem,"Estou cursando em 2016",2,2,2,4,180,2,"2016-03-08 10:06:53","2016-03-08 10:08:42",7bea6258bb
171dc8f19dd207f0c0524dca5f4bc7e1,Doutorado,Homem,"Já cursei",2,4,8,4,176,4,"2016-03-08 10:08:27","2016-03-08 10:13:08",b211ba5891
2858b250df9988f62836559cee94b771,Doutorado,Homem,"Já cursei",1,2,8,2,166,3,"2016-03-08 10:16:00","2016-03-08 10:17:57",d279ce57fc
9fe05e78cd62f3af92743f41d0adab1d,Mestrado,Mulher,"Já cursei",1,3,8,1,176,5,"2016-03-08 10:14:54","2016-03-08 10:20:04",0e82de5875
6128cefbf8f67c8a39278ac83afbd41e,Mestrado,Mulher,"Já cursei",0,2,4,3,155,5,"2016-03-08 10:25:24","2016-03-08 10:27:12",310a112af3
d0070f069eba3e40d2382c330e64c109,Mestrado,Homem,"Já cursei",2,5,5,3,181,2,"2016-03-08 10:28:40","2016-03-08 10:30:15",381c9d0489
60d901e63056b1c22a0e16137cffaa54,Doutorado,Homem,"Já cursei",1,3,9,4,172,4,"2016-03-08 10:32:44","2016-03-08 10:34:17",df9e894853
c7f0f72cadd3812227538fd08000be00,Mestrado,Homem,"Já cursei",1,1,7,2,172,5,"2016-03-08 10:47:43","2016-03-08 10:49:05",a38805c02e
ccff5588a873679e4b6d4adfa12eced7,Doutorado,Homem,"Já cursei",0,3,7,5,170,3,"2016-03-08 10:52:15","2016-03-08 10:53:48",7613b39bf9
ffe024672662c3e2fadeb58c0bdf1e17,Mestrado,Homem,"Já cursei",0,1,6,1,170,4,"2016-03-08 10:55:32","2016-03-08 10:57:16",231bda4ee8
b69997c983c4b0ab1ff8ded3557f2084,Mestrado,Homem,"Estou cursando em 2016",3,2,7,2,180,5,"2016-03-08 11:11:21","2016-03-08 11:12:38",0d191b36c2
63404c17aa8a5f05c03b358e03547582,Doutorado,Homem,"Já cursei",1,3,8,4,163,1,"2016-03-08 11:14:24","2016-03-08 11:16:09",7613b39bf9
b794a790b2527822be0919767968611f,Mestrado,Mulher,"Já cursei",,4,10,3,172,3,"2016-03-08 11:22:42","2016-03-08 11:24:01",9c550ecdbb
85eff73397363376eff154a6129450f7,Doutorado,Homem,"Já cursei",0,2,5,2,173,1,"2016-03-08 10:55:10","2016-03-08 11:27:08",5363b6f00e
a36d7d216c1558c3e49b6da720c39efb,Doutorado,Homem,"Já cursei",0,3,6,3,200,5,"2016-03-08 11:29:15","2016-03-08 11:30:13",bfc0ad1327
5e7fc8b7c94294fcc20393cb35c2f96c,Mestrado,Mulher,"Já cursei",5,6,8,4,169,3,"2016-03-08 11:42:11","2016-03-08 11:44:06",fbb5f90fb3
6a73ab9b030944389e618e822c699848,Mestrado,Mulher,"Já cursei",2,3,8,6,173,1,"2016-03-08 11:28:14","2016-03-08 11:45:13",44818fb5ae
1e1d35a883dc83286d6cee749e180ca1,Mestrado,Homem,"Já cursei",2,1,6,3,170,3,"2016-03-08 11:45:25","2016-03-08 11:46:20",5d94b26694
a2af23e9e75927fe29f541f353de6017,Doutorado,Homem,"Já cursei",0,1,7,2,182,3,"2016-03-08 11:49:14","2016-03-08 11:51:02",23958e243e
ba9a99b359a19a19c018ef22222789ea,Doutorado,Homem,"Já cursei",3,4,6,7,179,1,"2016-03-08 11:51:22","2016-03-08 11:54:06",3c86ec2360
3aa0af13856a7bb62861f9fd2cdd0d0e,Mestrado,Mulher,"Estou cursando em 2016",0,2,7,2,160,4,"2016-03-08 11:57:59","2016-03-08 11:59:56",5c80d53a29
9ecfa9c0ac475fcb031af996ebf8c0ba,Doutorado,Homem,"Não cursei e não estou cursando",2,5,8,6,170,5,"2016-03-08 12:06:10","2016-03-08 12:09:00",43034b3191
122cd22fa66cae592fafee6162cbd903,Mestrado,Homem,"Já cursei",10,3,7,1,170,3,"2016-03-08 11:38:34","2016-03-08 12:16:12",10150bfd69
9600cdd90f7b72979eea655d117ba294,Mestrado,Homem,"Já cursei",0,2,7,5,180,4,"2016-03-08 12:18:34","2016-03-08 12:19:30",84e87e6bf6
28f8894458d2e204dc07addd3f353b90,Doutorado,Mulher,"Não cursei e não estou cursando",0,1,7,3,160,4,"2016-03-08 12:20:26","2016-03-08 12:21:47",732a26f100
933f970f665ccd641d8c8c40a72547ba,Mestrado,Mulher,"Já cursei",2,1,7,1,168,3,"2016-03-08 12:23:02","2016-03-08 12:24:28",e87f2d35bd
04f44633d613e7246a851ea45d154489,Mestrado,Homem,"Não cursei e não estou cursando",3,2,8,3,173,4,"2016-03-08 12:23:31","2016-03-08 12:25:50",2cbfb710bb
6198bffc32a7ce96af9f201241682565,Mestrado,Homem,"Já cursei",0,4,6,4,185,3,"2016-03-08 12:24:57","2016-03-08 12:26:05",0b1d60fddc
97256c592ab3a069898144ff39cd285d,Doutorado,Homem,"Já cursei",1,3,8,2,181,3,"2016-03-08 12:27:12","2016-03-08 12:31:44",76d8dade1c
9ff34f7ff9fba3be74cbdf1ea4f8b20c,Doutorado,Homem,"Já cursei",1,3,9,12,172,3,"2016-03-08 12:41:50","2016-03-08 12:44:15",518f215251
ff42e32a5dc3a8503ab18edf9c93c9b9,Doutorado,Mulher,"Já cursei",0,2,10,3,162,4,"2016-03-08 12:40:45","2016-03-08 12:46:15",ea5894dba4
cf55e66d1bc6daba7b7216decb815c5a,Mestrado,Homem,"Já cursei",0,3,8,5,178,4,"2016-03-08 12:46:02","2016-03-08 12:50:50",b50002a889
ca845db7a1233c6f7ca42e3d45a27e4c,Mestrado,Homem,"Já cursei",1,2,8,4,178,4,"2016-03-08 12:50:23","2016-03-08 12:52:18",9bbc895dea
515fe897026deae12f41b7e79a99dc0d,Mestrado,Homem,"Já cursei",2,2,6,4,188,4,"2016-03-08 13:00:43","2016-03-08 13:01:40",2cbfb710bb
fd5b6eab90b8de5bb5260bc01b0b4bb9,Doutorado,Homem,"Já cursei",0,2,8,8,165,5,"2016-03-08 13:04:50","2016-03-08 13:06:48",d435bdbfa3
0b1a86a9019b7835df2b6ac560569b8c,Doutorado,Homem,"Já cursei",0,2,6,5,175,1,"2016-03-08 13:08:24","2016-03-08 13:09:40",ea5894dba4
deb8cd12cf2a3da11b0a2441a54da16b,Mestrado,Homem,"Já cursei",2,1,7,1,163,3,"2016-03-08 13:26:11","2016-03-08 13:30:32",70ab0eb47b
a978b4214c5c245c8a72f6c8ada34a6e,Doutorado,Mulher,"Já cursei",3,6,8,3,163,5,"2016-03-08 13:31:57","2016-03-08 13:33:15",2fe6298172
48e15e7cd0ce86980dd707aaaa3148d0,Mestrado,Homem,"Já cursei",2,5,8,3,170,4,"2016-03-08 13:31:38","2016-03-08 13:33:33",b1dbfe0b41
e2965fe9e729ccc3bd769b4c098ebe69,Mestrado,Mulher,"Já cursei",1,2,8,4,154,4,"2016-03-08 13:34:18","2016-03-08 13:36:23",670c060362
a6f38d7139e1644913c3ac985dc2623d,Mestrado,Homem,"Já cursei",2,3,9,3,167,4,"2016-03-08 13:35:34","2016-03-08 13:36:55",2cbfb710bb
d37f1b4c9138bcfeb045ce0308cf72be,Doutorado,Homem,"Já cursei",3,3,7,4,175,3,"2016-03-08 13:38:57","2016-03-08 13:40:47",b48c12f305
d733c8a07e5b8082bf7056b159de5fd6,Doutorado,Homem,"Já cursei",0,2,7,2,175,3,"2016-03-08 13:47:38","2016-03-08 13:49:20",431a1c9675
1008280d536bb0434bc36c3208063f83,Doutorado,Mulher,"Já cursei",2,2,7,3,176,4,"2016-03-08 14:07:48","2016-03-08 14:10:40",1b97d677d2
66cf5ca8a93fc27596c0bfc09944cb04,Mestrado,Homem,"Já cursei",0,4,3,2,187,2,"2016-03-08 14:57:46","2016-03-08 14:59:45",c5caf2c3a2
c9aa0e3829e5c714bfe24707c2f8af44,Mestrado,Mulher,"Já cursei",1,2,5,1,160,4,"2016-03-08 16:29:46","2016-03-08 16:31:38",ade2022b25
6b90faf119d91a01d0057358bdfe0b19,Mestrado,Homem,"Estou cursando em 2016",2,2,6,3,180,4,"2016-03-08 16:30:14","2016-03-08 16:32:54",1c1276e490
8b337947dbdb504daf4c32cce7628a63,Mestrado,Homem,"Estou cursando em 2016",2,2,4,5,177,5,"2016-03-08 16:33:41","2016-03-08 16:34:35",9d12746ac8
dfaa8a95eabf0d8eaf41ed618c7d8c14,Mestrado,Mulher,"Já cursei",1,2,5,5,165,5,"2016-03-08 16:35:21","2016-03-08 16:36:42",163485d657
39507d3df4138373defc2522d2ded143,Mestrado,Homem,"Já cursei",2,3,7,2,178,2,"2016-03-08 16:46:49","2016-03-08 16:49:42",26483b4168
2f515c3863506b1f2314c7fc8fc7c93f,Mestrado,Homem,"Já cursei",1,2,7,2,169,5,"2016-03-08 17:05:39","2016-03-08 17:07:15",a35fd6118f
0a161ffd44ef12b5f1081ba23e487bb1,Mestrado,Mulher,"Estou cursando em 2016",3,4,10,3,165,3,"2016-03-08 17:51:00","2016-03-08 17:54:30",2cbfb710bb
a11299bb1a6892548857e5dd352153a6,Mestrado,Homem,"Estou cursando em 2016",6,2,5,3,175,4,"2016-03-08 18:02:36","2016-03-08 18:16:16",2cbfb710bb
b0439dc5a4731d6fee325b0b74893607,Mestrado,Homem,"Já cursei",0,2,10,3,178,5,"2016-03-08 18:14:38","2016-03-08 18:18:34",7e50ea1abd
dfd8d84acdbd9d1e28e0a9a5619c63e0,Mestrado,Homem,"Já cursei",1,3,7,5,181,4,"2016-03-08 19:14:31","2016-03-08 19:16:19",f3819fa689
09f7e0c37fb06cf6738aa72575433d8b,Doutorado,Homem,"Não cursei e não estou cursando",6,4,8,10,180,3,"2016-03-08 22:35:25","2016-03-08 22:36:34",d2a4860756
dba6ef3f21b6a51ac88b67d2a7c806d4,Doutorado,Homem,"Já cursei",0,3,10,3,175,5,"2016-03-08 23:00:21","2016-03-08 23:01:02",e2bd8f0e97
b780fa250350075ef3345b3d569ddfa0,Mestrado,Homem,"Estou cursando em 2016",2,2,9,2,190,5,"2016-03-09 00:01:31","2016-03-09 00:02:45",3170eaf06f
8f75a42f605c7e6184ecb551724258d1,Mestrado,Homem,"Já cursei",4,2,7,4,164,4,"2016-03-09 10:06:11","2016-03-09 10:12:02",ade369b4eb
11f8acf86852c8c6828ff39c1440b8bf,Doutorado,Homem,"Já cursei",4,2,6,3,170,3,"2016-03-09 12:18:46","2016-03-09 12:20:51",445de62ac3
5163cb8c1c37400182274411e143e3c8,Doutorado,Homem,"Estou cursando em 2016",5,4,3,3,179,4,"2016-03-09 12:17:58","2016-03-09 12:27:52",2cbfb710bb
8be5fee158f90571d6dff7940fd62db7,Doutorado,Homem,"Já cursei",2,2,6,4,185,5,"2016-03-09 14:49:29","2016-03-09 14:51:55",14e472aa60
9e78d3e976146e063ff6aa81af58aca9,Mestrado,Homem,"Já cursei",0,2,7,1,183,5,"2016-03-09 15:09:15","2016-03-09 15:10:29",185be17ff6
699a42d4e7d91b97006db7679df8c237,Mestrado,Homem,"Não cursei e não estou cursando",1,1,2,2,167,3,"2016-03-09 15:15:53","2016-03-09 15:18:50",73970e0e5c
77c839bd8f7f62fa23945ad8aba49fdc,Doutorado,Homem,"Já cursei",1,1,2,6,179,2,"2016-03-10 11:22:20","2016-03-10 11:24:28",5b88308e36
