"repository_language","ForkEvent","IssuesEvent","PushEvent","WatchEvent"
"ActionScript",2.51159793814433,5.5047619047619,8.93427230046948,3.33602150537634
"Ada",1.325,4.2,10.9590163934426,1.43478260869565
"Agda",1.5,4.75,9.85106382978723,3.45454545454545
"ANTLR",1.18181818181818,8,4.72916666666667,1.17857142857143
"Apex",2.08333333333333,12.962962962963,8.02491103202847,2.55789473684211
"AppleScript",1.91780821917808,1.96666666666667,5.27246376811594,3.69078947368421
"Arc",1.72413793103448,4,9,3.86206896551724
"Arduino",2.05362776025237,2.43030303030303,5.13767469521261,2.74114774114774
"ASP",1.56923076923077,4.32432432432432,10.1865284974093,1.96428571428571
"Assembly",2.74812030075188,5.25641025641026,9.58706125258087,6.24047619047619
"Augeas",3.75,21,6.35,3
"AutoHotkey",1.67532467532468,3.66666666666667,9.77597402597403,2.56488549618321
"AutoIt",3.24137931034483,3.91666666666667,7.6,3.16
"Awk",2.53333333333333,2.7,6.41284403669725,6.6
"BlitzBasic",3.44186046511628,4.66666666666667,15.4163090128755,2.58695652173913
"Brightscript",3.85714285714286,15.2857142857143,18.2647058823529,5.5
"C",3.23593758995912,6.26049233252623,10.5130174309295,6.06156556758117
"C#",2.82143332003723,6.73603310671002,9.31350809259827,3.74815737568774
"C++",2.95487106017192,7.7630553390491,11.7536849779694,5.10446297204512
"Ceylon",1.39130434782609,8.66666666666667,10.4545454545455,1.5
"Clojure",3.28839869281046,4.38855421686747,7.08005822416303,8.95001810938066
"COBOL",2.83333333333333,2.5,11.8857142857143,7.5
"CoffeeScript",3.72181282240236,5.21269296740995,8.33067616993342,9.97378455672069
"ColdFusion",2.08860759493671,7.59649122807018,10.3116531165312,2.33532934131737
"Common Lisp",2.02922077922078,3.28930817610063,9.06461307287754,4.48507462686567
"Coq",1.35135135135135,2.90909090909091,14.812030075188,2.6078431372549
"Crystal",6,13,26.6,5.93333333333333
"CSS",5.10816376966801,6.11696843454575,10.0079206691325,12.0780570501953
"D",2.11928934010152,7.08,8.9374613003096,2.94426229508197
"Dart",2.62412993039443,7.56459330143541,9.88815789473684,3.93408134642356
"DCPU-16 ASM",1.20833333333333,1,12.25,1.46153846153846
"Delphi",1.375,1.44444444444444,4.54166666666667,1.38571428571429
"DOT",2.1063829787234,4.63157894736842,10.9548872180451,4.62222222222222
"Dylan",1.29411764705882,6,9.50909090909091,2
"Ecl",1.25,1,5.66666666666667,1
"Eiffel",2.27777777777778,17.25,10.4673913043478,1.8780487804878
"Elixir",3.07792207792208,5.34666666666667,7.02390438247012,6.88135593220339
"Elm",2.08333333333333,2.125,8.16842105263158,2.5
"Emacs Lisp",2.52845528455285,4.42210144927536,7.37921276048366,4.64622641509434
"Erlang",2.40587044534413,4.06521739130435,7.81836596893991,4.50031746031746
"F#",3.08284023668639,8.36585365853658,10.046511627907,4.25842696629214
"Factor",1.35,33,12.5238095238095,2.07407407407407
"Fancy",1,1,1,1.88888888888889
"FORTRAN",1.89473684210526,4.18181818181818,8.39673390970221,2.10119047619048
"Go",3.47428958051421,5.19814020028612,8.35940099833611,11.3225366518923
"Gosu",2.275,2.26666666666667,6.4017094017094,2.98305084745763
"Groovy",2.15063731170336,4.51703406813627,8.66609096142775,3.47228381374723
"Haskell",2.05163934426229,4.6679012345679,8.38390139987827,3.86545623836127
"Haxe",2.93617021276596,9.672,10.3261904761905,4.2172131147541
"HaXe",1.51785714285714,2,5.28846153846154,2.09183673469388
"IDL",3.08928571428571,11.8076923076923,10.7512355848435,2.93333333333333
"Idris",1.7,1.25,6.82608695652174,6.46428571428571
"Java",3.3395794844726,6.95762258089191,10.4879205722432,4.93379916040654
"JavaScript",4.0964838615452,6.21967795901296,10.4390880734588,9.67672701130645
"Julia",3.40444444444444,7.51428571428571,11.1624319419238,5.36746987951807
"Kotlin",2.36842105263158,5.41666666666667,10.1046511627907,4.625
"LiveScript",3.48,8.03703703703704,11.4026402640264,8.1010101010101
"Logos",2.33076923076923,1.72413793103448,6.97050938337802,2.59782608695652
"Lua",2.48266841072596,6.99650959860384,9.53876478318003,3.12494236975565
"M",2.025,3,6.30452674897119,4.94871794871795
"Matlab",1.99819168173599,3.71111111111111,9.23816314888762,2.36752136752137
"Max",1.73529411764706,16.3125,8.38888888888889,2.71739130434783
"Mirah",1.14285714285714,7,3.55555555555556,3.375
"Monkey",1.25,1.5,5.77272727272727,2
"MoonScript",1.18181818181818,3.8,12.1111111111111,2.72
"Nemerle",2.04166666666667,3.71428571428571,6.76315789473684,3.4
"nesC",2.75925925925926,12.5217391304348,17.0084745762712,3.01754385964912
"NetLogo",1.05263157894737,6.2,8.43103448275862,1.52380952380952
"Nimrod",2.40625,11.047619047619,7.07964601769912,7.19512195121951
"Objective-C",3.68261816962789,4.58489583333333,6.49247212964027,12.5788747600768
"Objective-J",1.75609756097561,17,13.8875,2.6231884057971
"OCaml",1.90460526315789,4.89655172413793,11.1865724381625,3.43205574912892
"ooc",1.07407407407407,5,9.1875,1.16129032258065
"Opa",1.09090909090909,2,2.5,1
"OpenEdge ABL",1.77777777777778,4.11111111111111,9.91794871794872,1.91304347826087
"Oxygene",2.03571428571429,3.66666666666667,3.47058823529412,2.1
"Parrot",1.16666666666667,10,15.1428571428571,1.54166666666667
"Pascal",2.49122807017544,4.18666666666667,10.7160220994475,3.13095238095238
"Perl",2.08270932607216,3.74137931034483,8.15749675932594,3.21265423995799
"Perl6",1.42307692307692,1,10.1449275362319,1.61290322580645
"PHP",2.9487770928614,6.4718732495799,9.67837123952821,4.64819865533426
"PogoScript",1.25,2.5,3.91666666666667,1.2
"PowerShell",2.54416961130742,3.72857142857143,7.52775825720309,3.71182266009852
"Processing",2.63837638376384,3.67647058823529,6.38025594149909,3.38741721854305
"Prolog",1.7972972972973,1.8,4.01041666666667,2.27433628318584
"Puppet",2.36329305135952,3.44612068965517,6.59311394331368,2.61137897782064
"Pure Data",1.61224489795918,1.66666666666667,5.94573643410853,2.36666666666667
"Python",2.86097164029225,6.67699503069278,10.3427221056179,5.52631972483924
"R",2.7567298105683,5.50755287009063,6.73292040306924,3.41881638846737
"Racket",1.95412844036697,3.54098360655738,8.56885245901639,3.01224489795918
"REALbasic",1.4,7,7.52173913043478,1.5
"Rebol",1.2,3,4.3125,1.21428571428571
"RobotFramework",1,21,8.33333333333333,1
"Ruby",3.08713069604407,5.08478197533262,7.94024006578799,5.99066550890033
"Rust",3.67,12.5858585858586,15.251056635672,7.47792207792208
"Scala",3.32035306334372,6.44578313253012,9.37061600719425,7.65393714092599
"Scheme",2.37966101694915,2.89473684210526,7.81377744133232,2.97411764705882
"Scilab",1.2962962962963,2.5,6.18918918918919,1.46153846153846
"Self",2.28571428571429,5,4.71428571428571,2.92307692307692
"Shell",2.84915733277504,4.86024518388792,8.12454957898471,5.07523701835261
"Slash",3.83333333333333,2.5,10.6909090909091,3.28571428571429
"Smalltalk",1.375,3.47058823529412,9.84397163120567,1.73469387755102
"Squirrel",1.71428571428571,3.42857142857143,5.54794520547945,1.69230769230769
"Standard ML",2.88888888888889,5.42857142857143,12.8274336283186,3.91228070175439
"SuperCollider",1.26923076923077,6.25,9.83076923076923,1.67741935483871
"Tcl",1.72151898734177,3.3125,8.73841961852861,2.22093023255814
"TeX",2.63737623762376,6.68247422680412,11.6381025248661,4.77252747252747
"Turing",1.125,2,10.8181818181818,1.5
"TypeScript",5.80841799709724,14.1391585760518,10.3799569628036,6.77902097902098
"UnrealScript",1.125,4,14.4615384615385,1
"Vala",3.06779661016949,8.87804878048781,17.8577586206897,7.20833333333333
"Verilog",1.92436974789916,4.5,10.1849315068493,2.15151515151515
"VHDL",1.48039215686275,1.95774647887324,10.068,2.1978021978022
"VimL",3.12911025145068,3.59886363636364,5.97808674625963,7.15054347826087
"Visual Basic",1.71074380165289,4.00884955752212,7.20315457413249,3.00682593856655
"wisp",1.16666666666667,22,14.8333333333333,1.30434782608696
"XC",1.55555555555556,1,8,1.79166666666667
"XProc",1.3,6,9.9,1.30434782608696
"XQuery",1.60606060606061,5.68421052631579,10.1333333333333,1.80851063829787
"XSLT",4.33207547169811,7.45714285714286,9.45104232469994,3.48101265822785
"Xtend",1.77777777777778,8.30769230769231,11.3943661971831,2.3
